Table 4.1 - OUTLAYS BY AGENCY:  1962 - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 estimate,2021 estimate,2022 estimate,2023 estimate,2024 estimate,2025 estimate
Legislative Branch,196.0,192.0,199.0,212.0,234.0,252.0,269.0,289.0,353.0,395.0,499.0,553.0,638.0,739.0,788.0,226.0,990.0,1064.0,1099.0,1224.0,1214.0,1367.0,1437.0,1577.0,1607.0,1662.0,1810.0,1848.0,2216.0,2231.0,2245.0,2629.0,2394.0,2537.0,2609.0,2263.0,2348.0,2572.0,2592.0,2871.0,2959.0,3187.0,3396.0,3890.0,3984.0,4101.0,4294.0,4408.0,4704.0,5839.0,4582.0,4440.0,4316.0,4164.0,4321.0,4347.0,4499.0,4675.0,4961.0,6048.0,5795.0,5815.0,5765.0,5752.0,5746.0
Judicial Branch,57.0,62.0,66.0,75.0,80.0,88.0,94.0,110.0,133.0,145.0,173.0,188.0,207.0,284.0,325.0,85.0,393.0,437.0,481.0,567.0,641.0,710.0,787.0,866.0,966.0,1071.0,1180.0,1342.0,1499.0,1646.0,1997.0,2308.0,2628.0,2677.0,2903.0,3059.0,3259.0,3459.0,3789.0,4057.0,4381.0,4828.0,5127.0,5389.0,5547.0,5823.0,6006.0,6347.0,6645.0,7181.0,7293.0,7227.0,7063.0,6893.0,7137.0,7499.0,7569.0,7778.0,7988.0,8580.0,8993.0,8980.0,8940.0,8966.0,8989.0
Department of Agriculture,6437.0,7414.0,7569.0,6940.0,5633.0,5952.0,7430.0,8446.0,8412.0,8673.0,11021.0,10167.0,10302.0,15518.0,17682.0,5009.0,23287.0,30179.0,31698.0,34721.0,41541.0,45623.0,52317.0,41928.0,55435.0,58599.0,49507.0,43930.0,48256.0,45858.0,53990.0,56320.0,63019.0,60615.0,56550.0,54218.0,52393.0,53800.0,62690.0,75071.0,68071.0,68622.0,72737.0,71560.0,85308.0,93533.0,84427.0,90795.0,114440.0,129459.0,139397.0,139717.0,155895.0,141808.0,139115.0,138163.0,127560.0,136716.0,150125.0,154617.0,129215.0,125209.0,124623.0,121982.0,122691.0
Department of Commerce,215.0,354.0,702.0,736.0,485.0,477.0,582.0,607.0,778.0,783.0,850.0,934.0,992.0,1077.0,1484.0,396.0,2010.0,4720.0,3538.0,3129.0,2296.0,2054.0,1925.0,1894.0,2139.0,2083.0,2127.0,2278.0,2570.0,3734.0,2585.0,2566.0,2797.0,2915.0,3401.0,3702.0,3782.0,4036.0,5020.0,7788.0,5003.0,5312.0,5665.0,5829.0,6147.0,6372.0,6475.0,7721.0,10718.0,13236.0,9930.0,10267.0,9140.0,7895.0,8956.0,9165.0,10310.0,8565.0,11323.0,17124.0,12245.0,12269.0,8814.0,8380.0,8151.0
Department of Defense--Military Programs,50111.0,51147.0,52585.0,48780.0,56629.0,70069.0,80355.0,80771.0,80123.0,77497.0,77645.0,75033.0,77864.0,84852.0,87917.0,21807.0,95147.0,102259.0,113605.0,130912.0,153861.0,180693.0,204356.0,220863.0,245109.0,265440.0,273919.0,281889.0,294829.0,289694.0,261860.0,286574.0,278510.0,268577.0,259487.0,253196.0,258262.0,255793.0,261196.0,281028.0,290185.0,331845.0,388686.0,437034.0,474354.0,499344.0,528578.0,594662.0,636775.0,666715.0,678074.0,650867.0,607800.0,577898.0,562499.0,565370.0,568896.0,600683.0,653992.0,689589.0,729329.0,744099.0,745423.0,751666.0,762194.0
Department of Education,816.0,985.0,973.0,1152.0,2416.0,3596.0,4072.0,3990.0,4594.0,5099.0,5537.0,5709.0,5747.0,7331.0,7897.0,2035.0,8717.0,9828.0,12167.0,14612.0,16973.0,14707.0,14433.0,15424.0,16596.0,17577.0,16670.0,18145.0,21468.0,22972.0,25196.0,25832.0,30109.0,24557.0,31205.0,29727.0,30009.0,31294.0,31285.0,33476.0,35523.0,46373.0,57145.0,62780.0,72858.0,93368.0,66372.0,65963.0,53389.0,93743.0,65484.0,57249.0,40910.0,59610.0,90029.0,76978.0,111702.0,63709.0,104366.0,159297.0,78962.0,67724.0,66689.0,65806.0,67042.0
Department of Energy,2755.0,2700.0,2726.0,2579.0,2343.0,2253.0,2474.0,2393.0,2393.0,2200.0,2299.0,2304.0,2233.0,3230.0,3841.0,1048.0,5049.0,6412.0,7441.0,7260.0,11756.0,11656.0,10590.0,10990.0,10586.0,11025.0,10692.0,11165.0,11386.0,12083.0,12472.0,15515.0,16933.0,17830.0,17608.0,16195.0,14458.0,14414.0,15879.0,14971.0,16319.0,17669.0,19379.0,19892.0,21271.0,19649.0,20116.0,21400.0,23683.0,30778.0,31371.0,32484.0,24731.0,23638.0,25427.0,25862.0,25800.0,26482.0,28941.0,34351.0,35484.0,32793.0,32592.0,31550.0,32041.0
Department of Health and Human Services,3529.0,4110.0,4610.0,4700.0,5715.0,9639.0,13074.0,15411.0,17397.0,20391.0,25309.0,25578.0,28062.0,33751.0,40261.0,10530.0,46493.0,51752.0,57820.0,68255.0,80821.0,88408.0,95008.0,102374.0,114270.0,122940.0,131410.0,140035.0,152689.0,175515.0,198095.0,231550.0,253821.0,278887.0,303060.0,319788.0,339514.0,350341.0,359429.0,382311.0,425885.0,465326.0,504922.0,542982.0,581390.0,614274.0,671982.0,700442.0,796267.0,854059.0,891247.0,848056.0,886292.0,936012.0,1027515.0,1102965.0,1116779.0,1120506.0,1213798.0,1322128.0,1371719.0,1442652.0,1456352.0,1470654.0,1572523.0
Department of Homeland Security,566.0,642.0,747.0,774.0,705.0,782.0,973.0,1055.0,1089.0,1011.0,1340.0,1833.0,1661.0,2099.0,2455.0,648.0,2755.0,3217.0,3415.0,4296.0,3943.0,3847.0,4689.0,5060.0,5007.0,5383.0,5383.0,6180.0,5671.0,7219.0,6654.0,7577.0,9653.0,10708.0,9376.0,9692.0,10533.0,10617.0,13321.0,13159.0,14980.0,17570.0,31970.0,26575.0,38697.0,69025.0,39156.0,40676.0,51719.0,44457.0,45741.0,47422.0,57216.0,43263.0,42572.0,45196.0,50499.0,68374.0,57686.0,62152.0,60330.0,61934.0,55636.0,56252.0,53516.0
Department of Housing and Urban Development,826.0,-609.0,73.0,492.0,2482.0,3093.0,3727.0,713.0,2432.0,2796.0,3600.0,3580.0,4781.0,7512.0,7026.0,1361.0,5808.0,7650.0,9220.0,12735.0,14880.0,15232.0,15814.0,16663.0,28720.0,14139.0,15484.0,18938.0,19680.0,20167.0,22751.0,24470.0,25181.0,25845.0,29044.0,25236.0,27527.0,30181.0,32693.0,30781.0,33865.0,31788.0,37410.0,44984.0,42453.0,42435.0,45561.0,49088.0,61019.0,60141.0,57004.0,49600.0,56577.0,38527.0,35527.0,26388.0,55630.0,54667.0,29193.0,36049.0,52394.0,51071.0,47445.0,44477.0,41154.0
