Category,Subcategory,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
National defense:,Department of Defense,688,700,775,1100,1412,1385,1397,1683,1882,2178,4950,5517,6466,6689,6792,7419,6623,6675,7649,8071,7762,7519,7639,8238,8529,8960,9284,9341,2312,10210,10726,11045,13469,15739,18363,20566,23850,28165,33396,34732,35605,37819,38247,35330,35504,37666,35474,35356,36936,37702,37558,37571,38279,41157,44903,53778,61510,66467,69323,73716,75783,79708,77591,75576,71146,67288,66534,67985,72102
National defense:,Other national defense,74,72,71,104,141,166,153,215,252,281,414,420,456,401,352,446,454,422,419,473,552,502,469,599,610,446,431,478,143,664,1351,1083,1174,1199,1447,1732,1915,2195,2260,2365,2427,2547,2831,2557,2666,2730,2581,2343,2492,2475,2583,2705,2771,2990,3335,3550,3835,4179,3720,3362,3818,3210,3499,4099,3975,3827,4042,4633,4844
National defense:,Total national defense,762,772,846,1204,1553,1551,1550,1898,2134,2459,5364,5937,6922,7090,7144,7865,7077,7097,8068,8544,8314,8021,8108,8837,9139,9406,9715,9819,2455,10874,12077,12129,14643,16937,19809,22298,25765,30360,35656,37097,38032,40366,41078,37887,38170,40396,38055,37699,39428,40177,40141,40276,41050,44147,48238,57328,65345,70646,73043,77078,79601,82918,81090,79675,75121,71115,70576,72618,76946
Nondefense:,General science space and technology:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nondefense:,NASA,42,43,44,51,50,48,43,50,55,72,115,330,646,1112,2291,3693,4497,5275,5042,4462,4025,3518,3143,3059,3045,2900,2876,3227,846,3506,3454,3655,4262,4798,2697,1999,3023,2410,2863,2693,3252,4220,5624,6277,6641,7004,6663,8243,6963,8137,8631,8316,5411,5611,5816,6002,8037,6880,6807,8508,10245,9160,7962,7825,10027,10620,10776,10617,10617
Nondefense:,NSF,..........,..........,..........,..........,..........,4,8,15,28,31,47,57,70,84,100,147,147,176,209,248,280,292,334,407,432,539,571,623,194,668,701,775,838,900,1020,998,1127,1182,1399,1426,1513,1570,1520,1631,1733,1753,1873,1894,2077,2015,2010,2144,2446,2566,2803,3235,3439,3638,3707,3569,3781,3936,4772,5233,5124,5269,5198,5271,5558
Nondefense:,Atomic energy general science,40,49,50,60,63,64,73,78,91,126,157,183,214,231,264,288,309,339,359,281,385,393,380,370,372,292,310,257,72,267,274,305,345,501,401,464,505,510,510,576,618,680,784,834,784,789,669,700,705,703,1862,2087,2246,2287,2298,2480,2701,2809,2966,3114,3001,3347,3437,4042,4012,3966,4108,4055,4161
Nondefense:,Subtotal,82,92,94,111,113,116,124,143,174,229,319,570,930,1427,2655,4128,4953,5790,5610,4991,4690,4203,3857,3836,3849,3731,3757,4107,1112,4441,4429,4735,5445,6199,4118,3461,4656,4102,4772,4695,5383,6470,7927,8741,9157,9546,9205,10837,9745,10855,12503,12547,10103,10464,10917,11717,14177,13327,13480,15191,17027,16443,16171,17100,19163,19855,20082,19943,20336
Nondefense:,Energy,N/A,N/A,N/A,N/A,N/A,N/A,27,42,77,109,129,159,173,397,462,502,478,452,478,515,469,451,454,329,379,525,933,1424,521,2197,2542,3304,3289,3681,3330,2728,2762,4249,2622,2321,2287,2454,2342,2501,2593,2517,2654,3152,2938,2641,1526,1285,1265,1336,1197,1325,1387,1272,1156,1249,1215,1846,1966,3679,3019,2033,2363,2341,2771
Nondefense:,Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
